tileid,class_1000,quantile_1000,class_rybski,quantile_rybski,class_marco,quantile_marco,class_truth,quantile_truth
194014,2,0.425,1,0.07200000000000001,4,0.904,4,1.0
194015,2,0.48200000000000004,2,0.102,2,0.187,4,1.0
194016,4,1.0,1,0.068,4,1.0,4,1.0
194017,2,0.174,1,0.051,2,0.263,3,0.895
194018,4,1.0,2,0.33299999999999996,4,1.0,4,1.0
194019,2,0.217,1,0.057,4,0.997,4,1.0
194020,1,0.015,1,0.017,1,0.081,2,0.225
194021,1,0.013000000000000001,1,0.002,1,0.005,1,0.001
194022,1,0.046,1,0.005,1,0.012,1,0.043
194023,1,0.035,1,0.001,1,0.004,1,0.009000000000000001
194024,1,0.004,1,0.002,1,0.005,1,0.006999999999999999
194025,1,0.006,1,0.01,1,0.004,1,0.012
194026,1,0.042,1,0.009000000000000001,1,0.027000000000000003,2,0.16399999999999998
194027,1,0.066,1,0.013999999999999999,1,0.083,2,0.273
194028,2,0.285,1,0.008,1,0.017,1,0.084
194029,1,0.028999999999999998,1,0.02,1,0.026000000000000002,1,0.062
194030,1,0.003,1,0.013000000000000001,1,0.015,1,0.017
194031,1,0.04,1,0.008,1,0.043,1,0.085
194032,1,0.036000000000000004,1,0.01,1,0.036000000000000004,1,0.061
194033,1,0.004,1,0.013999999999999999,1,0.005,1,0.027000000000000003
194034,1,0.032,1,0.006,1,0.01,1,0.02
194035,2,0.45,1,0.043,1,0.053,3,0.5870000000000001
194036,4,0.9390000000000001,1,0.085,3,0.7,4,0.985
194038,4,1.0,4,0.998,4,1.0,4,1.0
194039,2,0.44,2,0.10400000000000001,4,0.943,4,1.0
194040,1,0.081,1,0.084,3,0.552,3,0.715
194041,3,0.65,1,0.048,2,0.16,4,0.9490000000000001
194042,2,0.386,1,0.015,2,0.256,3,0.626
194043,2,0.375,1,0.011000000000000001,2,0.141,2,0.428
194044,2,0.196,1,0.012,1,0.085,2,0.268
194045,2,0.33,1,0.057999999999999996,3,0.5529999999999999,3,0.867
