tileid,class,quantile
119152,1,0.078
119180,4,1.0
119181,3,0.774
119567,3,0.617
119571,3,0.851
119572,4,0.983
119679,1,0.017
119728,1,0.017
119854,2,0.165
119857,2,0.113
119858,2,0.116
119859,1,0.066
119888,2,0.21
119889,3,0.691
119892,4,0.996
119893,4,0.999
120210,1,0.077
120279,1,0.021
120280,2,0.452
120422,2,0.153
120561,2,0.182
120562,2,0.252
120563,2,0.191
120564,3,0.674
120566,2,0.416
120586,4,0.961
120587,2,0.394
120596,2,0.18
120601,2,0.337
120613,2,0.15
120905,2,0.298
120944,1,0.043
120945,1,0.044
121123,1,0.027
121138,1,0.04
121139,3,0.71
121269,3,0.822
121270,2,0.209
121273,2,0.111
121274,2,0.131
121293,3,0.551
121294,2,0.209
121295,4,0.947
121296,3,0.692
121297,4,0.916
121303,4,1.0
121304,4,1.0
121305,2,0.363
121614,2,0.19
121615,3,0.833
121684,1,0.069
121689,2,0.178
121692,4,1.0
121830,2,0.232
121832,1,0.068
121838,1,0.088
121980,3,0.63
121981,4,0.951
121982,1,0.092
121983,2,0.179
121988,2,0.377
121996,4,0.926
121998,2,0.494
122003,2,0.233
122013,2,0.261
122319,2,0.231
122321,1,0.035
122371,1,0.045
122540,2,0.147
122541,1,0.077
122683,2,0.101
122685,3,0.676
122686,2,0.24
122691,2,0.161
122692,2,0.163
122693,2,0.224
122708,2,0.195
122711,2,0.397
123029,4,0.913
123031,3,0.586
123091,2,0.126
123215,1,0.031
123247,2,0.327
123248,4,1.0
123249,1,0.087
123393,4,0.952
123395,4,0.923
123396,2,0.181
123399,4,0.999
123400,4,1.0
123401,4,0.918
123421,4,0.996
123736,3,0.593
123739,3,0.834
123800,2,0.11
123801,2,0.211
123970,1,0.036
123971,2,0.203
124098,2,0.159
124100,3,0.683
124101,4,1.0
124130,2,0.132
124443,1,0.097
124447,3,0.674
124622,1,0.059
124667,4,0.994
124668,4,0.945
124674,4,1.0
124678,4,0.967
124679,3,0.682
124805,1,0.098
124806,3,0.667
124838,3,0.811
124839,1,0.058
124844,2,0.179
124867,1,0.043
125154,3,0.813
125155,1,0.03
125156,2,0.11
125375,4,0.932
125376,4,0.939
125382,4,1.0
125385,2,0.173
125513,2,0.485
125514,3,0.66
125517,4,1.0
125531,1,0.056
125546,3,0.662
125547,2,0.242
125864,2,0.453
125918,1,0.041
126039,1,0.011
126079,1,0.048
126085,1,0.047
126086,1,0.025
126087,3,0.763
126089,4,1.0
126090,4,1.0
126096,2,0.476
126223,1,0.058
126224,2,0.275
126239,3,0.681
126255,1,0.036
126779,1,0.03
126787,1,0.07
126795,4,0.998
126797,4,1.0
126798,4,1.0
126931,2,0.42
126932,2,0.253
126937,4,1.0
126946,2,0.226
126973,3,0.626
126974,2,0.14
126975,3,0.544
126977,2,0.367
126983,1,0.041
127505,4,0.998
127635,4,0.957
127637,1,0.057
127639,3,0.664
127643,2,0.325
127644,1,0.009
127645,2,0.129
127655,2,0.221
127657,2,0.101
127686,1,0.042
128164,2,0.154
128205,1,0.083
128342,2,0.473
128345,1,0.051
128346,3,0.572
128347,1,0.057
128350,1,0.086
128351,3,0.887
128352,1,0.047
128363,2,0.136
128365,1,0.058
128943,1,0.029
129050,4,1.0
129052,4,0.939
129056,2,0.15
129057,1,0.05
129058,2,0.163
129059,2,0.182
129076,3,0.58
129087,2,0.255
129410,1,0.099
129439,1,0.073
129757,4,0.942
129758,3,0.541
129759,2,0.35
129760,2,0.348
129763,1,0.021
129764,1,0.027
129765,4,0.911
129766,2,0.114
130115,1,0.073
130116,2,0.442
130465,4,1.0
130466,2,0.359
130467,2,0.132
130471,1,0.018
130472,1,0.01
130473,2,0.238
130824,2,0.304
130994,1,0.029
130999,2,0.114
131000,1,0.045
131170,2,0.239
131173,2,0.386
131174,1,0.026
131178,4,0.933
131179,2,0.183
131180,2,0.19
131181,2,0.25
131183,1,0.049
131534,2,0.11
131535,2,0.469
131537,2,0.472
131703,1,0.073
131704,1,0.016
131721,2,0.104
131722,1,0.008
131877,4,1.0
131880,3,0.728
131881,4,1.0
131886,3,0.503
131887,2,0.214
131891,2,0.493
131912,2,0.115
131920,2,0.126
132241,2,0.114
132244,1,0.023
132288,2,0.195
132379,2,0.131
132389,1,0.047
132405,1,0.093
132406,1,0.02
132407,1,0.07
132408,4,1.0
132409,2,0.283
132411,1,0.038
132412,2,0.11
132456,1,0.025
132586,4,0.999
132588,4,1.0
132594,2,0.16
132595,1,0.073
132599,2,0.216
132621,1,0.037
132622,1,0.02
133092,1,0.021
133093,1,0.059
133097,2,0.124
133098,2,0.111
133099,2,0.247
133112,1,0.066
133113,1,0.074
133114,1,0.06
133115,2,0.144
133116,3,0.599
133117,2,0.157
133120,2,0.33
133121,3,0.744
133291,2,0.325
133292,2,0.22
133293,2,0.253
133294,4,0.978
133295,3,0.512
133301,1,0.034
133302,2,0.332
133306,2,0.362
133307,1,0.046
133331,2,0.305
133332,4,0.93
133698,2,0.116
133805,2,0.317
133806,2,0.122
133807,2,0.29
133808,1,0.013
133810,2,0.226
133820,1,0.061
133821,1,0.064
133822,1,0.021
133823,1,0.044
133824,2,0.206
133828,2,0.317
133829,4,0.998
133830,4,1.0
133969,1,0.025
133999,1,0.075
134009,1,0.057
134010,4,0.932
134012,4,0.947
134013,2,0.233
134014,3,0.55
134040,2,0.344
134041,1,0.036
134044,3,0.504
134365,4,1.0
134366,4,1.0
134399,4,1.0
134495,1,0.06
134505,2,0.169
134511,1,0.042
134512,1,0.033
134513,1,0.06
134514,1,0.07
134515,1,0.1
134516,1,0.073
134517,2,0.304
134518,2,0.462
134519,1,0.088
134520,4,0.901
134521,2,0.122
134522,2,0.119
134523,1,0.007
134524,1,0.055
134526,2,0.217
134528,1,0.052
134529,1,0.049
134530,1,0.024
134531,2,0.19
134532,4,1.0
134533,4,1.0
134534,3,0.647
134677,4,1.0
134678,4,0.938
134679,1,0.091
134716,1,0.05
134717,2,0.261
134718,4,1.0
134719,3,0.734
134720,4,0.958
134721,1,0.083
134749,3,0.686
134766,2,0.259
134767,2,0.411
135107,4,1.0
135108,2,0.461
135212,2,0.197
135213,2,0.213
135214,2,0.469
135220,2,0.117
135221,1,0.015
135222,1,0.063
135223,1,0.079
